depth_after_blocks,observations,mean_target_margin,sample_sd,minimum_target_margin,maximum_target_rank,top1_rate
5,30,-25.258135414123537,0.5309340975189566,-26.073925018310547,151883,0.0
6,30,13.038764826456706,2.0121450329994697,8.881195068359375,1,1.0
7,30,12.656337356567382,1.965912044197039,7.839111328125,1,1.0
8,30,12.239756520589193,1.9874336505904266,7.934478759765625,1,1.0
9,30,11.91186720530192,2.1845492179528057,7.4048614501953125,1,1.0
10,30,11.831702613830567,2.057160612809255,7.883575439453125,1,1.0
11,30,11.543094698588053,2.20336064411405,7.178951263427734,1,1.0
12,30,11.410280164082845,2.076776907124861,7.245578765869141,1,1.0
13,30,11.169683837890625,2.1088677997498135,6.647010803222656,1,1.0
14,30,11.220172945658366,2.1402015467558635,6.622589111328125,1,1.0
15,30,10.89451338450114,1.987862724593612,6.856842041015625,1,1.0
16,30,10.851744333902994,2.1387749938645397,6.668815612792969,1,1.0
17,30,10.734730529785157,1.964570906141827,6.290313720703125,1,1.0
18,30,10.591469637552898,2.0565247828584097,5.466524124145508,1,1.0
19,30,10.562710062662761,1.8769881738300522,6.138950347900391,1,1.0
20,30,10.533628463745117,2.1555611739485423,6.357662200927734,1,1.0
21,30,10.480994669596354,2.073230927416111,6.5743865966796875,1,1.0
22,30,9.796544583638509,2.4260853238018742,6.137641906738281,1,1.0
23,30,11.71624689102173,1.2058307047542374,9.260358810424805,1,1.0
24,30,12.346490001678466,1.2076854510924433,10.715076446533203,1,1.0
