method,seed,split,errors,examples
internal,2101,id_1_4,0,150
internal,2101,ood_primary_5_8,0,150
internal,2101,ood_long_9_12,0,150
internal,2101,carry_chain,0,75
internal,2203,id_1_4,0,150
internal,2203,ood_primary_5_8,0,150
internal,2203,ood_long_9_12,0,150
internal,2203,carry_chain,0,75
internal,2309,id_1_4,0,150
internal,2309,ood_primary_5_8,0,150
internal,2309,ood_long_9_12,0,150
internal,2309,carry_chain,0,75
learned_control,2101,id_1_4,110,150
learned_control,2101,ood_primary_5_8,150,150
learned_control,2101,ood_long_9_12,150,150
learned_control,2101,carry_chain,75,75
learned_control,2203,id_1_4,121,150
learned_control,2203,ood_primary_5_8,150,150
learned_control,2203,ood_long_9_12,150,150
learned_control,2203,carry_chain,73,75
learned_control,2309,id_1_4,115,150
learned_control,2309,ood_primary_5_8,150,150
learned_control,2309,ood_long_9_12,150,150
learned_control,2309,carry_chain,74,75
