condition,split,examples,mathematical_correct,mathematical_accuracy,exact_format_correct,exact_format_accuracy,route_activations
base,confirmatory_id,100,59,0.59,6,0.06,0
base,confirmatory_ood,100,3,0.03,1,0.01,0
base,confirmatory_long,100,0,0.0,0,0.0,0
base,confirmatory_word,100,6,0.06,0,0.0,0
base,pooled,400,68,0.17,7,0.0175,0
control,confirmatory_id,100,19,0.19,8,0.08,82
control,confirmatory_ood,100,1,0.01,1,0.01,88
control,confirmatory_long,100,0,0.0,0,0.0,79
control,confirmatory_word,100,1,0.01,1,0.01,100
control,pooled,400,21,0.0525,10,0.025,349
internal,confirmatory_id,100,93,0.93,82,0.82,82
internal,confirmatory_ood,100,88,0.88,88,0.88,88
internal,confirmatory_long,100,79,0.79,79,0.79,79
internal,confirmatory_word,100,100,1.0,100,1.0,100
internal,pooled,400,360,0.9,349,0.8725,349
oracle,confirmatory_id,100,100,1.0,100,1.0,100
oracle,confirmatory_ood,100,100,1.0,100,1.0,100
oracle,confirmatory_long,100,100,1.0,100,1.0,100
oracle,confirmatory_word,100,100,1.0,100,1.0,100
oracle,pooled,400,400,1.0,400,1.0,400
off,confirmatory_id,100,59,0.59,6,0.06,0
off,confirmatory_ood,100,3,0.03,1,0.01,0
off,confirmatory_long,100,0,0.0,0,0.0,0
off,confirmatory_word,100,6,0.06,0,0.0,0
off,pooled,400,68,0.17,7,0.0175,0
