condition,seed,split,examples,mathematical_correct,mathematical_accuracy,exact_format_correct,exact_format_accuracy,positive_route_rate,negative_false_route_rate,negative_token_preservation_rate,operand_register_accuracy,positive_mean_latency_seconds,learned_parameters
base,,pooled,400,68,0.17,7,0.0175,,,,,0.6239015563223802,0
base,,phase5_confirmatory_id_1_4,100,55,0.55,6,0.06,,,,,,0
base,,phase5_confirmatory_ood_5_8,100,8,0.08,1,0.01,,,,,,0
base,,phase5_confirmatory_long_9_12,100,0,0.0,0,0.0,,,,,,0
base,,phase5_confirmatory_word_5_8,100,5,0.05,0,0.0,,,,,,0
typed_firmware,10701,pooled,400,400,1.0,400,1.0,1.0,0.03125,0.96875,,0.2781227288652735,24225
typed_firmware,10701,phase5_confirmatory_id_1_4,100,100,1.0,100,1.0,,,,,,24225
typed_firmware,10701,phase5_confirmatory_ood_5_8,100,100,1.0,100,1.0,,,,,,24225
typed_firmware,10701,phase5_confirmatory_long_9_12,100,100,1.0,100,1.0,,,,,,24225
typed_firmware,10701,phase5_confirmatory_word_5_8,100,100,1.0,100,1.0,,,,,,24225
typed_firmware,10702,pooled,400,400,1.0,400,1.0,1.0,0.0375,0.9625,,0.27831429082772957,24225
typed_firmware,10702,phase5_confirmatory_id_1_4,100,100,1.0,100,1.0,,,,,,24225
typed_firmware,10702,phase5_confirmatory_ood_5_8,100,100,1.0,100,1.0,,,,,,24225
typed_firmware,10702,phase5_confirmatory_long_9_12,100,100,1.0,100,1.0,,,,,,24225
typed_firmware,10702,phase5_confirmatory_word_5_8,100,100,1.0,100,1.0,,,,,,24225
typed_firmware,10703,pooled,400,400,1.0,400,1.0,1.0,0.04375,0.95625,,0.28006245011252756,24225
typed_firmware,10703,phase5_confirmatory_id_1_4,100,100,1.0,100,1.0,,,,,,24225
typed_firmware,10703,phase5_confirmatory_ood_5_8,100,100,1.0,100,1.0,,,,,,24225
typed_firmware,10703,phase5_confirmatory_long_9_12,100,100,1.0,100,1.0,,,,,,24225
typed_firmware,10703,phase5_confirmatory_word_5_8,100,100,1.0,100,1.0,,,,,,24225
adapter,10701,pooled,400,13,0.0325,13,0.0325,1.0,0.03125,0.98125,,0.30549652655747195,24225
adapter,10701,phase5_confirmatory_id_1_4,100,11,0.11,11,0.11,,,,,,24225
adapter,10701,phase5_confirmatory_ood_5_8,100,2,0.02,2,0.02,,,,,,24225
adapter,10701,phase5_confirmatory_long_9_12,100,0,0.0,0,0.0,,,,,,24225
adapter,10701,phase5_confirmatory_word_5_8,100,0,0.0,0,0.0,,,,,,24225
adapter,10702,pooled,400,10,0.025,9,0.0225,1.0,0.0375,0.96875,,0.3177367253072225,24225
adapter,10702,phase5_confirmatory_id_1_4,100,8,0.08,7,0.07,,,,,,24225
adapter,10702,phase5_confirmatory_ood_5_8,100,2,0.02,2,0.02,,,,,,24225
adapter,10702,phase5_confirmatory_long_9_12,100,0,0.0,0,0.0,,,,,,24225
adapter,10702,phase5_confirmatory_word_5_8,100,0,0.0,0,0.0,,,,,,24225
adapter,10703,pooled,400,10,0.025,10,0.025,1.0,0.04375,0.975,,0.3346696278050513,24225
adapter,10703,phase5_confirmatory_id_1_4,100,8,0.08,8,0.08,,,,,,24225
adapter,10703,phase5_confirmatory_ood_5_8,100,2,0.02,2,0.02,,,,,,24225
adapter,10703,phase5_confirmatory_long_9_12,100,0,0.0,0,0.0,,,,,,24225
adapter,10703,phase5_confirmatory_word_5_8,100,0,0.0,0,0.0,,,,,,24225
igc_matched,10701,pooled,400,0,0.0,0,0.0,1.0,0.04375,0.95625,0.0,0.3132146104099593,24225
igc_matched,10701,phase5_confirmatory_id_1_4,100,0,0.0,0,0.0,,,,,,24225
igc_matched,10701,phase5_confirmatory_ood_5_8,100,0,0.0,0,0.0,,,,,,24225
igc_matched,10701,phase5_confirmatory_long_9_12,100,0,0.0,0,0.0,,,,,,24225
