model,max_operand_digits,mean,std
baseline,1,1.0,0.0
baseline,2,0.9621993127147767,0.03313969333674557
baseline,3,0.9463087248322147,0.02324900412844127
baseline,4,0.91869918699187,0.015345191941607241
baseline,5,0.8906048906048906,0.01607464092251838
baseline,6,0.8432671081677704,0.03478134935229301
baseline,7,0.004830917874396135,0.008367395205646751
baseline,8,0.0,0.0
baseline,9,0.0,0.0
baseline,10,0.0,0.0
baseline,11,0.0,0.0
baseline,12,0.0,0.0
baseline,13,0.0,0.0
baseline,14,0.0,0.0
baseline,15,0.0,0.0
baseline,16,0.0,0.0
baseline,17,0.0,0.0
baseline,18,0.0,0.0
baseline,19,0.0,0.0
baseline,20,0.0,0.0
direct_firmware,1,1.0,0.0
direct_firmware,2,1.0,0.0
direct_firmware,3,1.0,0.0
direct_firmware,4,1.0,0.0
direct_firmware,5,1.0,0.0
direct_firmware,6,1.0,0.0
direct_firmware,7,1.0,0.0
direct_firmware,8,1.0,0.0
direct_firmware,9,1.0,0.0
direct_firmware,10,1.0,0.0
direct_firmware,11,1.0,0.0
direct_firmware,12,1.0,0.0
direct_firmware,13,1.0,0.0
direct_firmware,14,1.0,0.0
direct_firmware,15,1.0,0.0
direct_firmware,16,1.0,0.0
direct_firmware,17,1.0,0.0
direct_firmware,18,1.0,0.0
direct_firmware,19,1.0,0.0
direct_firmware,20,1.0,0.0
latent_firmware,1,1.0,0.0
latent_firmware,2,1.0,0.0
latent_firmware,3,1.0,0.0
latent_firmware,4,1.0,0.0
latent_firmware,5,1.0,0.0
latent_firmware,6,1.0,0.0
latent_firmware,7,1.0,0.0
latent_firmware,8,1.0,0.0
latent_firmware,9,1.0,0.0
latent_firmware,10,1.0,0.0
latent_firmware,11,1.0,0.0
latent_firmware,12,1.0,0.0
latent_firmware,13,1.0,0.0
latent_firmware,14,1.0,0.0
latent_firmware,15,1.0,0.0
latent_firmware,16,1.0,0.0
latent_firmware,17,1.0,0.0
latent_firmware,18,1.0,0.0
latent_firmware,19,1.0,0.0
latent_firmware,20,1.0,0.0
