model,seed,split,accuracy
baseline,101,carry_chain,0.0
baseline,101,id_random,0.887
baseline,101,ood_long,0.0
baseline,101,ood_primary,0.0
baseline,211,carry_chain,0.0
baseline,211,id_random,0.916
baseline,211,ood_long,0.0
baseline,211,ood_primary,0.0
baseline,307,carry_chain,0.002
baseline,307,id_random,0.901
baseline,307,ood_long,0.0
baseline,307,ood_primary,0.0
direct_firmware,101,carry_chain,1.0
direct_firmware,101,id_random,1.0
direct_firmware,101,ood_long,1.0
direct_firmware,101,ood_primary,1.0
direct_firmware,211,carry_chain,1.0
direct_firmware,211,id_random,1.0
direct_firmware,211,ood_long,1.0
direct_firmware,211,ood_primary,1.0
direct_firmware,307,carry_chain,1.0
direct_firmware,307,id_random,1.0
direct_firmware,307,ood_long,1.0
direct_firmware,307,ood_primary,1.0
latent_firmware,101,carry_chain,1.0
latent_firmware,101,id_random,1.0
latent_firmware,101,ood_long,1.0
latent_firmware,101,ood_primary,1.0
latent_firmware,211,carry_chain,1.0
latent_firmware,211,id_random,1.0
latent_firmware,211,ood_long,1.0
latent_firmware,211,ood_primary,1.0
latent_firmware,307,carry_chain,1.0
latent_firmware,307,id_random,1.0
latent_firmware,307,ood_long,1.0
latent_firmware,307,ood_primary,1.0
