a,b,correct,expected,max_operand_digits,model,predicted,seed,split
26766,23729,False,50495,5,baseline,40495,101,id_random
57799,59814,False,117613,5,baseline,117603,101,id_random
68567,68401,False,136968,5,baseline,137968,101,id_random
19906,67073,False,86979,5,baseline,87979,101,id_random
69224,30393,False,99617,5,baseline,109617,101,id_random
90957,46028,False,136985,5,baseline,137985,101,id_random
61266,43734,False,105000,5,baseline,104000,101,id_random
299935,72,False,300007,6,baseline,200007,101,id_random
626821,77,False,626898,6,baseline,626998,101,id_random
919944,63,False,920007,6,baseline,919007,101,id_random
2922,81,False,3003,4,baseline,2003,101,id_random
46,14,False,60,2,baseline,50,101,id_random
27,23,False,50,2,baseline,40,101,id_random
90,39,False,129,2,baseline,139,101,id_random
76209,9097,False,85306,5,baseline,85206,101,id_random
72194,7898,False,80092,5,baseline,70092,101,id_random
44515,2081,False,46596,5,baseline,46696,101,id_random
16964,6816,False,23780,5,baseline,26780,101,id_random
79522,1070,False,80592,5,baseline,80692,101,id_random
24962,2037,False,26999,5,baseline,27999,101,id_random
79,60919,False,60998,5,baseline,61098,101,id_random
184,7877,False,8061,4,baseline,7061,101,id_random
210,3859,False,4069,4,baseline,4079,101,id_random
981,7512,False,8493,4,baseline,8593,101,id_random
368,6332,False,6700,4,baseline,6600,101,id_random
51,951,False,1002,3,baseline,902,101,id_random
27,883,False,910,3,baseline,900,101,id_random
9,882968,False,882977,6,baseline,882077,101,id_random
9,954065,False,954074,6,baseline,954174,101,id_random
8,865978,False,865986,6,baseline,865086,101,id_random
6,269488,False,269494,6,baseline,269594,101,id_random
1489,8382,False,9871,4,baseline,10871,101,id_random
1124,5969,False,7093,4,baseline,7193,101,id_random
8028,6899,False,14927,4,baseline,15927,101,id_random
7890,1505,False,9395,4,baseline,9495,101,id_random
77,3,False,80,2,baseline,70,101,id_random
66,4,False,70,2,baseline,60,101,id_random
325,435,False,760,3,baseline,750,101,id_random
301967,9,False,301976,6,baseline,302976,101,id_random
97442,213197,False,310639,6,baseline,310649,101,id_random
75648,631758,False,707406,6,baseline,707306,101,id_random
35919,566907,False,602826,6,baseline,502826,101,id_random
57677,133320,False,190997,6,baseline,191997,101,id_random
52997,993124,False,1046121,6,baseline,10461211,101,id_random
492,96,False,588,3,baseline,598,101,id_random
26,840577,False,840603,6,baseline,840503,101,id_random
46,181898,False,181944,6,baseline,182944,101,id_random
96,928795,False,928891,6,baseline,929891,101,id_random
3816,981,False,4797,4,baseline,4897,101,id_random
9373,829,False,10202,4,baseline,10102,101,id_random
291,8,False,299,3,baseline,209,101,id_random
895,5,False,900,3,baseline,800,101,id_random
29770,540,False,30310,5,baseline,20310,101,id_random
59118,860,False,59978,5,baseline,50978,101,id_random
31961,828,False,32789,5,baseline,32889,101,id_random
20279,115,False,20394,5,baseline,20494,101,id_random
21941,850,False,22791,5,baseline,22891,101,id_random
99646,704,False,100350,5,baseline,90350,101,id_random
39973,340,False,40313,5,baseline,30013,101,id_random
58191,708,False,58899,5,baseline,58999,101,id_random
38131,882,False,39013,5,baseline,38013,101,id_random
33689,371,False,34060,5,baseline,33060,101,id_random
99216,92,False,99308,5,baseline,99318,101,id_random
48907,94,False,49001,5,baseline,48001,101,id_random
7,1064,False,1071,4,baseline,10711,101,id_random
912,69031,False,69943,5,baseline,70943,101,id_random
352,72951,False,73303,5,baseline,73203,101,id_random
82965,5,False,82970,5,baseline,82960,101,id_random
850,768060,False,768910,6,baseline,769910,101,id_random
659,774636,False,775295,6,baseline,785295,101,id_random
426,509575,False,510001,6,baseline,509901,101,id_random
965,600632,False,601597,6,baseline,611597,101,id_random
844,859150,False,859994,6,baseline,860994,101,id_random
740,976822,False,977562,6,baseline,987562,101,id_random
637,288905,False,289542,6,baseline,299542,101,id_random
369209,44980,False,414189,6,baseline,414199,101,id_random
399273,82719,False,481992,6,baseline,482092,101,id_random
998905,50983,False,1049888,6,baseline,1059888,101,id_random
604649,73056,False,677705,6,baseline,677605,101,id_random
574134,16262,False,590396,6,baseline,590496,101,id_random
978937,99023,False,1077960,6,baseline,1078060,101,id_random
923639,89958,False,1013597,6,baseline,10136977,101,id_random
604671,96906,False,701577,6,baseline,601577,101,id_random
963547,49538,False,1013085,6,baseline,10121855,101,id_random
475945,923851,False,1399796,6,baseline,1499896,101,id_random
545502,675097,False,1220599,6,baseline,1220699,101,id_random
114998,521870,False,636868,6,baseline,646868,101,id_random
577923,240076,False,817999,6,baseline,818909,101,id_random
889402,773487,False,1662889,6,baseline,1662989,101,id_random
996799,132304,False,1129103,6,baseline,1139103,101,id_random
879981,777644,False,1657625,6,baseline,16576255,101,id_random
178332,850860,False,1029192,6,baseline,1029292,101,id_random
968287,158020,False,1126307,6,baseline,1124207,101,id_random
2500,30491,False,32991,5,baseline,33991,101,id_random
8602,49345,False,57947,5,baseline,58947,101,id_random
6187,67103,False,73290,5,baseline,73390,101,id_random
8202,35990,False,44192,5,baseline,44292,101,id_random
6385,270106,False,276491,6,baseline,276591,101,id_random
2115,216383,False,218498,6,baseline,218598,101,id_random
8554,331044,False,339598,6,baseline,349598,101,id_random
1191,609871,False,611062,6,baseline,610062,101,id_random
3555,228423,False,231978,6,baseline,232978,101,id_random
1085,569589,False,570674,6,baseline,560674,101,id_random
498255,2613,False,500868,6,baseline,400868,101,id_random
324664,3016,False,327680,6,baseline,327670,101,id_random
912392,1069,False,913461,6,baseline,914451,101,id_random
356841,1132,False,357973,6,baseline,358973,101,id_random
397946,3305,False,401251,6,baseline,301281,101,id_random
914473,2446,False,916919,6,baseline,917919,101,id_random
738073,5540,False,743613,6,baseline,744613,101,id_random
738416,5933,False,744349,6,baseline,744359,101,id_random
471978,9317,False,481295,6,baseline,481395,101,id_random
1299,1,False,1300,4,baseline,1200,101,id_random
411236966,89878134,False,501115100,9,baseline,9,101,ood_primary
907817045,10776226,False,918593271,9,baseline,7,101,ood_primary
944973433,81941356,False,1026914789,9,baseline,4,101,ood_primary
973239959,32433177,False,1005673136,9,baseline,4,101,ood_primary
816877011,81739191,False,898616202,9,baseline,7,101,ood_primary
837760884,87876007,False,925636891,9,baseline,8,101,ood_primary
978936776,66457976,False,1045394752,9,baseline,8,101,ood_primary
372944675,97744067,False,470688742,9,baseline,7,101,ood_primary
218741032,15176953,False,233917985,9,baseline,1,101,ood_primary
224598379,55327493,False,279925872,9,baseline,3,101,ood_primary
714006591,91372219,False,805378810,9,baseline,8,101,ood_primary
566877563,74283236,False,641160799,9,baseline,8,101,ood_primary
732762472,34007110,False,766769582,9,baseline,2,101,ood_primary
127368871,57564415,False,184933286,9,baseline,8,101,ood_primary
446319179,76273290,False,522592469,9,baseline,7,101,ood_primary
723543840,89220863,False,812764703,9,baseline,50,101,ood_primary
538977324,33271290,False,572248614,9,baseline,7,101,ood_primary
460521812,59396849,False,519918661,9,baseline,1,101,ood_primary
308188329,10666912,False,318855241,9,baseline,8,101,ood_primary
258139291,57344104,False,315483395,9,baseline,3,101,ood_primary
528571254,54405469,False,582976723,9,baseline,4,101,ood_primary
632580217,40048487,False,672628704,9,baseline,4,101,ood_primary
681342820,53187866,False,734530686,9,baseline,1,101,ood_primary
945485510,92451244,False,1037936754,9,baseline,59,101,ood_primary
293554896,93179060,False,386733956,9,baseline,8,101,ood_primary
593758521,71402631,False,665161152,9,baseline,4,101,ood_primary
122613877,58357386,False,180971263,9,baseline,3,101,ood_primary
503197728,19487192,False,522684920,9,baseline,9,101,ood_primary
8215853564,70346679969,False,78562533533,11,baseline,33333333333301,101,ood_primary
4721261702,51999880805,False,56721142507,11,baseline,1101021,101,ood_primary
3447645234,64387844183,False,67835489417,11,baseline,48080808088080,101,ood_primary
2930886844,60397896848,False,63328783692,11,baseline,83030333333031,101,ood_primary
9604281694,22051233728,False,31655515422,11,baseline,10202020202020,101,ood_primary
5959390020,90820660918,False,96780050938,11,baseline,8080808,101,ood_primary
3455390767,94941459658,False,98396850425,11,baseline,9,101,ood_primary
5730443041,31216081498,False,36946524539,11,baseline,35444253545424,101,ood_primary
6196472512,14290508032,False,20486980544,11,baseline,2,101,ood_primary
1590683901,14615250367,False,16205934268,11,baseline,83818381818121,101,ood_primary
5747367638,47366063582,False,53113431220,11,baseline,83131300000000,101,ood_primary
4170149406,52525949541,False,56696098947,11,baseline,54444444444442,101,ood_primary
9556486768,58263377378,False,67819864146,11,baseline,82919292929291,101,ood_primary
4178202375,68838038151,False,73016240526,11,baseline,8122222,101,ood_primary
8707059589,99540511322,False,108247570911,11,baseline,9,101,ood_primary
9736561943,80599688442,False,90336250385,11,baseline,51150515015111,101,ood_primary
9484486640,77642124976,False,87126611616,11,baseline,86888829292929,101,ood_primary
4190266096,81887323421,False,86077589517,11,baseline,816081,101,ood_primary
7577357999,81790883281,False,89368241280,11,baseline,81222121222221,101,ood_primary
1594782508,58744967210,False,60339749718,11,baseline,82222222222228,101,ood_primary
9778978643,17722555371,False,27501534014,11,baseline,81881818181829,101,ood_primary
2890712949,83762250576,False,86652963525,11,baseline,22254222222232,101,ood_primary
7665899961,68749815447,False,76415715408,11,baseline,99090909090900,101,ood_primary
2432413909,94325595317,False,96758009226,11,baseline,33377737377731,101,ood_primary
8533555933,31912720205,False,40446276138,11,baseline,5056505,101,ood_primary
9355124249,38625957522,False,47981081771,11,baseline,82222222222222,101,ood_primary
7655340674,88563634431,False,96218975105,11,baseline,48584848,101,ood_primary
9430598417,96730757972,False,106161356389,11,baseline,95777609580900,101,ood_primary
6727114190,47488705443,False,54215819633,11,baseline,41111111111111,101,ood_primary
7717024909,84703362158,False,92420387067,11,baseline,28428181212122,101,ood_primary
8830160425,72718089948,False,81548250373,11,baseline,71222222221222,101,ood_primary
5655700521,90255151446,False,95910851967,11,baseline,1,101,ood_primary
5059808869,89418868383,False,94478677252,11,baseline,9,101,ood_primary
6486225485,95185139529,False,101671365014,11,baseline,56160606060602,101,ood_primary
3986089896,46436993731,False,50423083627,11,baseline,95262525222222,101,ood_primary
7527084229,68091920880,False,75619005109,11,baseline,84181212121218,101,ood_primary
6422213499,40542303823,False,46964517322,11,baseline,53235353502351,101,ood_primary
5453769794,88635242418,False,94089012212,11,baseline,87096000090909,101,ood_primary
8110463558,20067999440,False,28178462998,11,baseline,33333333333030,101,ood_primary
8601177857,81610210733,False,90211388590,11,baseline,81818181818111,101,ood_primary
729506883422,39602179070,False,769109062492,12,baseline,832383832322222,101,ood_primary
235515046591,76684702849,False,312199749440,12,baseline,5110,101,ood_primary
630502854389,20503820823,False,651006675212,12,baseline,200003333332222,101,ood_primary
951390857236,53128168686,False,1004519025922,12,baseline,652555555262625,101,ood_primary
186889471791,55110955621,False,242000427412,12,baseline,5559,101,ood_primary
704252255106,17058392266,False,721310647372,12,baseline,233322223322222,101,ood_primary
386913994397,72959682234,False,459873676631,12,baseline,809090909090909,101,ood_primary
550021354376,40798518764,False,590819873140,12,baseline,47777,101,ood_primary
649518145073,44438260180,False,693956405253,12,baseline,822222222222222,101,ood_primary
610549202712,52118294675,False,662667497387,12,baseline,54141,101,ood_primary
705958986222,48913741780,False,754872728002,12,baseline,823333233322222,101,ood_primary
324340943482,47144540442,False,371485483924,12,baseline,424454542342424,101,ood_primary
241654195006,60257854729,False,301912049735,12,baseline,155715010101011,101,ood_primary
314993562272,17354970064,False,332348532336,12,baseline,352525255152222,101,ood_primary
262615620170,79305927482,False,341921547652,12,baseline,512020202021111,101,ood_primary
657539908601,56611484126,False,714151392727,12,baseline,504444444440006,101,ood_primary
860980419315,58359587194,False,919340006509,12,baseline,555555555555555,101,ood_primary
134692379977,74112471906,False,208804851883,12,baseline,27003,101,ood_primary
525263676311,12023633219,False,537287309530,12,baseline,343415444413131,101,ood_primary
308056858404,91336139362,False,399392997766,12,baseline,9108,101,ood_primary
721599652496,99861825097,False,821461477593,12,baseline,1000,101,ood_primary
385475914038,98690722585,False,484166636623,12,baseline,90000000000909,101,ood_primary
392253821707,79472505637,False,471726327344,12,baseline,810101010101011,101,ood_primary
8173867,2058717501,False,2066891368,10,baseline,6,101,ood_primary
7122575,5750352048,False,5757474623,10,baseline,2,101,ood_primary
6459862,3132910958,False,3139370820,10,baseline,8,101,ood_primary
6908834,3519391646,False,3526300480,10,baseline,4,101,ood_primary
5249015,3307690719,False,3312939734,10,baseline,6,101,ood_primary
6186299,7974093189,False,7980279488,10,baseline,1,101,ood_primary
8039510,8394427819,False,8402467329,10,baseline,54,101,ood_primary
9608674,8873640059,False,8883248733,10,baseline,1,101,ood_primary
1093769,6889372571,False,6890466340,10,baseline,9,101,ood_primary
3485147,8215742918,False,8219228065,10,baseline,8,101,ood_primary
4439985,1171222245,False,1175662230,10,baseline,8,101,ood_primary
8813883,5149941927,False,5158755810,10,baseline,17,101,ood_primary
5320133,5884613765,False,5889933898,10,baseline,9,101,ood_primary
4251200,6045140045,False,6049391245,10,baseline,5,101,ood_primary
3629026,3480984973,False,3484613999,10,baseline,1,101,ood_primary
3132171,4015753964,False,4018886135,10,baseline,1,101,ood_primary
9702889,1097620752,False,1107323641,10,baseline,9,101,ood_primary
2602803,9964780915,False,9967383718,10,baseline,8,101,ood_primary
2720912,7458106904,False,7460827816,10,baseline,2,101,ood_primary
9290642,4648034426,False,4657325068,10,baseline,4,101,ood_primary
5193957,8348892985,False,8354086942,10,baseline,6,101,ood_primary
8761868,1723928184,False,1732690052,10,baseline,8,101,ood_primary
8934616,3868516814,False,3877451430,10,baseline,6,101,ood_primary
5549415,3388737724,False,3394287139,10,baseline,5,101,ood_primary
2536846,4557500353,False,4560037199,10,baseline,6,101,ood_primary
9135267,4045288432,False,4054423699,10,baseline,9,101,ood_primary
9805720,3322579463,False,3332385183,10,baseline,7,101,ood_primary
1592505,8067301034,False,8068893539,10,baseline,5,101,ood_primary
89615286,16907130,False,106522416,8,baseline,98,101,ood_primary
38374108,40232366,False,78606474,8,baseline,34,101,ood_primary
82842400,64683653,False,147526053,8,baseline,38,101,ood_primary
79241520,51605085,False,130846605,8,baseline,557,101,ood_primary
97750020,87688577,False,185438597,8,baseline,99,101,ood_primary
80107031,60651116,False,140758147,8,baseline,55,101,ood_primary
85137429,47012647,False,132150076,8,baseline,553,101,ood_primary
96299628,66617271,False,162916899,8,baseline,982,101,ood_primary
21457879,40539979,False,61997858,8,baseline,91,101,ood_primary
38346405,35338361,False,73684766,8,baseline,34,101,ood_primary
19797420,43981116,False,63778536,8,baseline,203,101,ood_primary
47564083,37997109,False,85561192,8,baseline,89,101,ood_primary
89708216,86694096,False,176402312,8,baseline,10,101,ood_primary
61682511,89281123,False,150963634,8,baseline,132,101,ood_primary
81688502,95770026,False,177458528,8,baseline,120,101,ood_primary
25917881,67477079,False,93394960,8,baseline,955,101,ood_primary
74198327,71936705,False,146135032,8,baseline,96,101,ood_primary
11533583,95952077,False,107485660,8,baseline,63,101,ood_primary
12072383,40925799,False,52998182,8,baseline,853,101,ood_primary
13489272,12827824,False,26317096,8,baseline,39,101,ood_primary
62590304,77924059,False,140514363,8,baseline,752,101,ood_primary
19952180,77578358,False,97530538,8,baseline,19,101,ood_primary
26190321,59602012,False,85792333,8,baseline,32,101,ood_primary
39531496,75883937,False,115415433,8,baseline,301,101,ood_primary
17347619,33644161,False,50991780,8,baseline,015,101,ood_primary
503930967496,73798423,False,504004765919,12,baseline,8,101,ood_primary
756172105496,99948749,False,756272054245,12,baseline,1,101,ood_primary
158611643818,84831832,False,158696475650,12,baseline,8,101,ood_primary
640934965302,64874806,False,640999840108,12,baseline,9,101,ood_primary
233248731004,25950620,False,233274681624,12,baseline,8,101,ood_primary
356805980774,80283429,False,356886264203,12,baseline,9,101,ood_primary
194037072780,45985228,False,194083058008,12,baseline,4,101,ood_primary
456690018463,71237284,False,456761255747,12,baseline,7,101,ood_primary
147716634251,47719293,False,147764353544,12,baseline,6,101,ood_primary
238639176289,42837339,False,238682013628,12,baseline,4,101,ood_primary
956942696415,84553992,False,957027250407,12,baseline,8,101,ood_primary
556397366739,56792021,False,556454158760,12,baseline,8,101,ood_primary
280338434062,16908318,False,280355342380,12,baseline,2,101,ood_primary
352503682358,47846653,False,352551529011,12,baseline,3,101,ood_primary
978329373451,78579492,False,978407952943,12,baseline,8,101,ood_primary
598393108659,47293772,False,598440402431,12,baseline,3,101,ood_primary
90157578650,846457875982,False,936615454632,12,baseline,622222222222222,101,ood_primary
65961145542,700417422378,False,766378567920,12,baseline,111111111111111,101,ood_primary
39890253943,685486721567,False,725376975510,12,baseline,888188888882222,101,ood_primary
87006924532,519043524627,False,606050449159,12,baseline,144405440305454,101,ood_primary
42706565819,232201344552,False,274907910371,12,baseline,578888288722222,101,ood_primary
35353575960,909623125994,False,944976701954,12,baseline,9595,101,ood_primary
54985440822,178044038393,False,233029479215,12,baseline,411111111111111,101,ood_primary
76009811732,246789891364,False,322799703096,12,baseline,823222222232222,101,ood_primary
52563622525,594379809510,False,646943432035,12,baseline,5757,101,ood_primary
71907300911,195685877409,False,267593178320,12,baseline,39202,101,ood_primary
77735794982,303698489632,False,381434284614,12,baseline,323232322233333,101,ood_primary
24410368817,326504553062,False,350914921879,12,baseline,396983868633333,101,ood_primary
36795207946,390168279986,False,426963487932,12,baseline,2222,101,ood_primary
97436808524,405342002694,False,502778811218,12,baseline,844444444111118,101,ood_primary
74713831608,962435175288,False,1037149006896,12,baseline,9109,101,ood_primary
16128602743,427297197706,False,443425800449,12,baseline,1444,101,ood_primary
28201392090,298160407430,False,326361799520,12,baseline,9211,101,ood_primary
94428173939,253746318591,False,348174492530,12,baseline,236222263222222,101,ood_primary
51130919819,663714002434,False,714844922253,12,baseline,965655555556565,101,ood_primary
64041715815,448560636325,False,512602352140,12,baseline,118111111111111,101,ood_primary
48210593826,778606799737,False,826817393563,12,baseline,928292282822222,101,ood_primary
26082431953,575833910645,False,601916342598,12,baseline,489180808019080,101,ood_primary
65307385053,136007072663,False,201314457716,12,baseline,354483835443331,101,ood_primary
62377512282,768824914548,False,831202426830,12,baseline,522811128121111,101,ood_primary
60283791867,331228929442,False,391512721309,12,baseline,322222222223333,101,ood_primary
29678217939,629385216298,False,659063434237,12,baseline,268888282822222,101,ood_primary
64164104176,933111962967,False,997276067143,12,baseline,12030,101,ood_primary
57577400674,582876580750,False,640453981424,12,baseline,55555,101,ood_primary
52746950413,863652651070,False,916399601483,12,baseline,9601,101,ood_primary
97624165070,751395509293,False,849019674363,12,baseline,122221222221111,101,ood_primary
53649193875,422980460763,False,476629654638,12,baseline,233365363332222,101,ood_primary
76507046841,520712626971,False,597219673812,12,baseline,555555555551515,101,ood_primary
67954144814,953053302336,False,1021007447150,12,baseline,109495594940940,101,ood_primary
